                                                                                                18 Apr 2022 10:58:24
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Jerrico


       Time (UTCG)             x (km)          y (km)         z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
24 Sep 2024 05:03:20.000      941.189831     566.898313     1598.202178      -1.224462      -0.479109       0.891648
24 Sep 2024 05:35:00.000    -1480.683319    -576.786036     1108.818146      -0.786852      -0.470893      -1.299235
24 Sep 2024 06:06:40.000     -971.197225    -578.547028    -1569.598350       1.211066       0.470301      -0.921786
24 Sep 2024 06:38:20.000     1464.890163     567.235678    -1131.454017       0.808857       0.479737       1.284220
24 Sep 2024 07:10:00.000     1000.187918     590.534993     1552.765315      -1.192771      -0.459603       0.943855
24 Sep 2024 07:41:40.000    -1441.359238    -552.761432     1171.342010      -0.834872      -0.490052      -1.261480
24 Sep 2024 08:13:20.000    -1029.962513    -601.941814    -1523.089662       1.177704       0.450073      -0.973194
24 Sep 2024 08:45:00.000     1423.772384     542.367856    -1194.188006       0.856915       0.498780       1.245316
24 Sep 2024 09:16:40.000     1057.687264     613.186828     1504.748508      -1.159071      -0.439264       0.994626
24 Sep 2024 09:48:20.000    -1399.637426    -527.747531     1232.119481      -0.881649      -0.508399      -1.221610
24 Sep 2024 10:20:00.000    -1087.173642    -624.322886    -1473.959423       1.142378       0.429042      -1.023079
24 Sep 2024 10:51:40.000     1380.243424     516.520201    -1255.008193       0.903662       0.516975       1.204286
24 Sep 2024 11:23:20.000     1113.582709     634.805589     1454.217173      -1.123409      -0.418127       1.043867
24 Sep 2024 11:55:00.000    -1355.574589    -501.789286     1291.028040      -0.927095      -0.525895      -1.179686
24 Sep 2024 12:26:40.000    -1142.721755    -645.641526    -1422.286013       1.105138       0.407248      -1.071344
24 Sep 2024 12:58:20.000     1334.363530     489.739611    -1313.806597       0.949011       0.534284       1.161188
24 Sep 2024 13:30:00.000     1167.771504     655.346029     1401.240542      -1.085834      -0.396231       1.091489
24 Sep 2024 14:01:40.000    -1309.232956    -474.935004     1347.948061      -0.971125      -0.542501      -1.135772
24 Sep 2024 14:33:20.000    -1196.500657    -665.852281    -1368.154259       1.066035       0.384731      -1.117896
24 Sep 2024 15:05:00.000     1286.196648     462.075437    -1370.478825       0.992878       0.550668       1.116086
24 Sep 2024 15:36:40.000     1220.152404     674.765377     1345.892470      -1.046398      -0.373617       1.137403
24 Sep 2024 16:08:20.000    -1260.680935    -447.236704     1402.762533      -1.013655      -0.558182      -1.089938
24 Sep 2024 16:40:00.000    -1248.406569    -684.912677    -1311.655893       1.025126       0.361535      -1.162643
24 Sep 2024 17:11:40.000     1235.811167     433.579773    -1424.923104       1.035178       0.566095       1.069048
24 Sep 2024 17:43:20.000     1270.625102     693.023126     1288.252600      -1.005158      -0.350329       1.181521
24 Sep 2024 18:15:00.000    -1209.993859    -418.749988     1455.357248      -1.054602      -0.572906      -1.042260
24 Sep 2024 18:46:40.000    -1298.338000    -702.783137    -1252.889799       0.982474       0.337706      -1.205495
24 Sep 2024 19:18:20.000     1183.281189     404.307450    -1477.039454       1.075827       0.580532       1.020149
24 Sep 2024 19:50:00.000     1319.090166     710.081019     1228.407707      -0.962177      -0.326412       1.223759
24 Sep 2024 20:21:40.000    -1157.254312    -389.533363     1505.621971      -1.093888      -0.586643      -0.992821
24 Sep 2024 20:53:20.000    -1346.196099    -719.427128    -1191.961504       0.938145       0.313292      -1.246367
24 Sep 2024 21:25:00.000     1128.687809     374.315740    -1526.728896       1.114743       0.593949       0.969468
24 Sep 2024 21:56:40.000     1365.449363     725.903109     1166.453311      -0.917522      -0.301913       1.264034
24 Sep 2024 22:28:20.000    -1102.551893    -359.647153     1553.452491      -1.131433      -0.599364      -0.941706
24 Sep 2024 23:00:00.000    -1391.885931    -734.811538    -1128.981461       0.892215       0.288345      -1.285173
24 Sep 2024 23:31:40.000     1072.119760     343.663678    -1573.893401       1.151844       0.606318       0.917094
25 Sep 2024 00:03:20.000     1409.606551     740.456005     1102.494667      -0.871268      -0.276882       1.302263
25 Sep 2024 00:35:00.000    -1045.982229    -329.152242     1598.752737      -1.167165      -0.611045      -0.889007
25 Sep 2024 01:06:40.000    -1435.317963    -748.906967    -1064.062597       0.844764       0.262913      -1.321834
25 Sep 2024 01:38:20.000     1013.673136     312.411277    -1618.436666       1.187056       0.617613       0.863121
25 Sep 2024 02:10:00.000     1451.469024     753.709280     1036.646759      -0.823495      -0.251367       1.338368
25 Sep 2024 02:41:40.000     -987.645596    -298.109060     1641.436095      -1.201013      -0.621664      -0.834816
25 Sep 2024 03:13:20.000    -1476.409256    -761.687794     -997.318082       0.795876       0.237048      -1.356281
25 Sep 2024 03:45:00.000      953.449873     280.618615    -1660.266072       1.220307       0.627813       0.807649
25 Sep 2024 04:16:40.000     1490.949336     765.636008      969.032341      -0.774288      -0.225420       1.372275
25 Sep 2024 04:48:20.000     -927.645201    -266.577015     1681.425571      -1.232912      -0.631200      -0.779226
25 Sep 2024 05:20:00.000    -1515.083756    -773.131981     -928.860084       0.745638       0.210796      -1.388448
