                                                              22 Jul 2024 19:53:21
Satellite-NOVASAT-16U


      Time (UTCG)               x (km)              y (km)             z (km)     
1 Jan 2026 11:16:00.000    132520796.262567    27899457.924218    -57421895.387842
1 Jan 2026 11:17:00.000    132641211.907354    27320721.262211    -57421685.539888
1 Jan 2026 11:18:00.000    132759120.562674    26741459.120114    -57421496.210431
1 Jan 2026 11:19:00.000    132874520.153867    26161684.160729    -57421327.613540
1 Jan 2026 11:20:00.000    132987408.598490    25581409.070333    -57421179.875813
1 Jan 2026 11:21:00.000    133097783.805997    25000646.552069    -57421053.035866
1 Jan 2026 11:22:00.000    133205643.677578    24419409.319380    -57420947.044165
1 Jan 2026 11:23:00.000    133310986.106137    23837710.089416    -57420861.763189
1 Jan 2026 11:24:00.000    133413808.976397    23255561.576486    -57420796.967919
1 Jan 2026 11:25:00.000    133514110.165174    22672976.485466    -57420752.346679
1 Jan 2026 11:26:00.000    133611887.541832    22089967.505272    -57420727.502341
1 Jan 2026 11:27:00.000    133707138.968906    21506547.302401    -57420721.953875
1 Jan 2026 11:28:00.000    133799862.302887    20922728.514590    -57420735.138248
1 Jan 2026 11:29:00.000    133890055.395167    20338523.744548    -57420766.412672
1 Jan 2026 11:30:00.000    133977716.093134    19753945.553881    -57420815.057197
1 Jan 2026 11:31:00.000    134062842.241461    19169006.457091    -57420880.277638
1 Jan 2026 11:32:00.000    134145431.683546    18583718.915868    -57420961.208811
1 Jan 2026 11:33:00.000    134225482.263154    17998095.333491    -57421056.918076
1 Jan 2026 11:34:00.000    134302991.826227    17412148.049537    -57421166.409192
1 Jan 2026 11:35:00.000    134377958.222876    16825889.334790    -57421288.626462
1 Jan 2026 11:36:00.000    134450379.309486    16239331.386529    -57421422.459139
1 Jan 2026 11:37:00.000    134520252.950975    15652486.324020    -57421566.746076
1 Jan 2026 11:38:00.000    134587577.023206    15065366.184326    -57421720.280631
1 Jan 2026 11:39:00.000    134652349.415600    14477982.918395    -57421881.815834
1 Jan 2026 11:40:00.000    134714568.033907    13890348.387656    -57422050.069775
1 Jan 2026 11:41:00.000    134774230.803117    13302474.360997    -57422223.731149
1 Jan 2026 11:42:00.000    134831335.670464    12714372.512172    -57422401.464908
1 Jan 2026 11:43:00.000    134885880.608517    12126054.417587    -57422581.918031
1 Jan 2026 11:44:00.000    134937863.618359    11537531.554570    -57422763.725377
1 Jan 2026 11:45:00.000    134987282.732838    10948815.300019    -57422945.515612
1 Jan 2026 11:46:00.000    135034136.019875    10359916.929491    -57423125.917145
1 Jan 2026 11:47:00.000    135078421.585832     9770847.616675    -57423303.564067
1 Jan 2026 11:48:00.000    135120137.578951     9181618.433347    -57423477.102105
1 Jan 2026 11:49:00.000    135159282.192881     8592240.349677    -57423645.194562
1 Jan 2026 11:50:00.000    135195853.670226     8002724.235150    -57423806.528192
1 Jan 2026 11:51:00.000    135229850.306088     7413080.859857    -57423959.818923
1 Jan 2026 11:52:00.000    135261270.451590     6823320.896311    -57424103.817414
1 Jan 2026 11:53:00.000    135290112.517382     6233454.921567    -57424237.314440
1 Jan 2026 11:54:00.000    135316374.977114     5643493.419828    -57424359.146102
1 Jan 2026 11:55:00.000    135340056.370826     5053446.785410    -57424468.198823
1 Jan 2026 11:56:00.000    135361155.308235     4463325.326136    -57424563.414092
1 Jan 2026 11:57:00.000    135379670.471931     3873139.266967    -57424643.792939
1 Jan 2026 11:58:00.000    135395600.620523     3282898.753951    -57424708.400153
1 Jan 2026 11:59:00.000    135408944.591715     2692613.858462    -57424756.368214
1 Jan 2026 12:00:00.000    135419701.305297     2102294.581756    -57424786.900939
