                                                                 18 Apr 2022 10:22:22
FOR UNFUNDED EDUCATIONAL USE ONLY
Planet-Sun


       Time (UTCG)                x (km)               y (km)              z (km)    
18 May 2025 02:46:40.000      82785425.660194     126823877.903160     3659038.044927
19 May 2025 01:00:00.000      80754760.492289     128078164.881685     3667115.952015
19 May 2025 23:13:20.000      78724862.527219     129282100.855435     3674593.916415
20 May 2025 21:26:40.000      76699195.089345     130438185.786185     3682644.239487
21 May 2025 19:40:00.000      74679909.888531     131550092.465739     3692287.259819
22 May 2025 17:53:20.000      72667712.430417     132622496.129111     3704302.248208
23 May 2025 16:06:40.000      70661849.454115     133660773.618189     3719165.755497
24 May 2025 14:20:00.000      68660232.550345     134670574.969811     3737036.269837
25 May 2025 12:33:20.000      66659701.090378     135657298.970386     3757793.867868
26 May 2025 10:46:40.000      64656379.209464     136625556.223220     3781132.040158
27 May 2025 09:00:00.000      62646053.405797     137578731.350323     3806674.410309
28 May 2025 07:13:20.000      60624490.224519     138518744.569715     3834077.009167
29 May 2025 05:26:40.000      58587641.380237     139446053.561818     3863080.994161
30 May 2025 03:40:00.000      56531746.308016     140359851.730024     3893503.167642
31 May 2025 01:53:20.000      54453366.660899     141258371.950729     3925181.725850
 1 Jun 2025 00:06:40.000      52349408.927327     142139195.075898     3957904.451399
 1 Jun 2025 22:20:00.000      50217162.904508     142999501.201873     3991346.518574
 2 Jun 2025 20:33:20.000      48054370.543152     143836240.717060     4025032.298360
 3 Jun 2025 18:46:40.000      45859322.739856     144646234.098971     4058324.449049
 4 Jun 2025 17:00:00.000      43630976.715287     145426223.258679     4090437.856239
 5 Jun 2025 15:13:20.000      41369081.734107     146172900.380961     4120473.446302
 6 Jun 2025 13:26:40.000      39074300.241868     146882935.970736     4147467.405377
 7 Jun 2025 11:40:00.000      36748308.346871     147553022.187619     4170451.910788
 8 Jun 2025 09:53:20.000      34393857.746631     148179941.134035     4188523.485152
 9 Jun 2025 08:06:40.000      32014780.672062     148760661.427216     4200915.063803
10 Jun 2025 06:20:00.000      29615920.542394     149292460.411324     4207066.390322
11 Jun 2025 04:33:20.000      27202976.079386     149773063.546995     4206686.413527
12 Jun 2025 02:46:40.000      24782255.632761     150200787.625676     4199800.270976
13 Jun 2025 01:00:00.000      22360351.142865     150574671.344610     4186773.386750
13 Jun 2025 23:13:20.000      19943754.851686     150894576.492079     4168306.475875
14 Jun 2025 21:26:40.000      17538454.959728     151161245.673569     4145397.953502
15 Jun 2025 19:40:00.000      15149553.377832     151376307.994871     4119274.221852
16 Jun 2025 17:53:20.000      12780948.894663     151542230.554510     4091293.073355
17 Jun 2025 16:06:40.000      10435123.080420     151662219.016693     4062829.245123
18 Jun 2025 14:20:00.000       8113051.505935     151740073.662977     4035155.507519
19 Jun 2025 12:33:20.000       5814249.139747     151780007.064417     4009334.415976
20 Jun 2025 10:46:40.000       3536940.305049     151786427.876584     3986137.496178
21 Jun 2025 09:00:00.000       1278326.411792     151763694.442532     3966007.033274
22 Jun 2025 07:13:20.000       -965091.968662     151715845.258418     3949070.323182
23 Jun 2025 05:26:40.000      -3197195.119219     151646322.463655     3935205.728181
24 Jun 2025 03:40:00.000      -5421981.865247     151557717.095451     3924144.126925
25 Jun 2025 01:53:20.000      -7643398.829389     151451574.255516     3915575.880678
26 Jun 2025 00:06:40.000      -9865257.751286     151328294.315876     3909229.631532
26 Jun 2025 22:20:00.000     -12091203.856900     151187148.949910     3904899.936102
27 Jun 2025 20:33:20.000     -14324681.095330     151026404.167488     3902422.843748
28 Jun 2025 18:46:40.000     -16568861.644896     150843518.235778     3901617.359877
29 Jun 2025 17:00:00.000     -18826527.645124     150635372.568406     3902218.271993
30 Jun 2025 15:13:20.000     -21099922.910379     150398498.314805     3903822.171144
 1 Jul 2025 13:26:40.000     -23390595.216147     150129276.334205     3905857.555618
 2 Jul 2025 11:40:00.000     -25699249.571257     149824103.375298     3907581.747396
 3 Jul 2025 09:53:20.000     -28025627.116102     149479527.889316     3908101.594479
 4 Jul 2025 08:06:40.000     -30368417.993520     149092363.915004     3906413.525546
 5 Jul 2025 06:20:00.000     -32725216.233770     148659791.391462     3901458.531576
 6 Jul 2025 04:33:20.000     -35092524.751208     148179448.631833     3892188.381749
 7 Jul 2025 02:46:40.000     -37465819.593982     147649518.812882     3877639.640678
 8 Jul 2025 01:00:00.000     -39839682.478585     147068808.259633     3857011.600276
 8 Jul 2025 23:13:20.000     -42208009.056010     146436810.376203     3829743.052686
 9 Jul 2025 21:26:40.000     -44564293.732516     145753746.490065     3795580.674909
10 Jul 2025 19:40:00.000     -46901982.727074     145020573.639478     3754630.356475
11 Jul 2025 17:53:20.000     -49214871.182582     144238951.739097     3707380.652081
12 Jul 2025 16:06:40.000     -51497505.930589     143411167.491001     3654689.683663
13 Jul 2025 14:20:00.000     -53745542.748911     142540020.779348     3597729.628928
14 Jul 2025 12:33:20.000     -55956006.242505     141628687.245548     3537890.745888
15 Jul 2025 10:46:40.000     -58127412.489809     140680575.827924     3476654.851930
16 Jul 2025 09:00:00.000     -60259738.866087     139699199.069099     3415455.835279
17 Jul 2025 07:13:20.000     -62354256.664523     138688065.637702     3355549.563937
18 Jul 2025 05:26:40.000     -64413265.992471     137650593.249026     3297913.810541
19 Jul 2025 03:40:00.000     -66439791.245846     136590026.314392     3243195.493019
20 Jul 2025 01:53:20.000     -68437293.004360     135509337.012671     3191712.207130
21 Jul 2025 00:06:40.000     -70409440.371294     134411090.612645     3143505.047400
21 Jul 2025 22:20:00.000     -72359964.622523     133297269.714874     3098428.054849
22 Jul 2025 20:33:20.000     -74292584.114129     132169076.194348     3056250.010745
23 Jul 2025 18:46:40.000     -76210968.953065     131026751.013246     3016741.543581
24 Jul 2025 17:00:00.000     -78118699.764722     129869464.861499     2979724.572863
25 Jul 2025 15:13:20.000     -80019186.401239     128695321.193388     2945075.129635
26 Jul 2025 13:26:40.000     -81915532.350138     127501486.893426     2912685.216723
27 Jul 2025 11:40:00.000     -83810360.272058     126284429.653437     2882401.814052
28 Jul 2025 09:53:20.000     -85705626.946783     125040219.044191     2853963.673576
29 Jul 2025 08:06:40.000     -87602459.850866     123764840.826484     2826952.812552
30 Jul 2025 06:20:00.000     -89501036.565490     122454484.897738     2800769.551501
31 Jul 2025 04:33:20.000     -91400516.862787     121105783.368069     2774633.245617
 1 Aug 2025 02:46:40.000     -93299028.714094     119715990.004994     2747606.515048
 2 Aug 2025 01:00:00.000     -95193703.333836     118283103.398204     2718638.806078
 2 Aug 2025 23:13:20.000     -97080756.512197     116805938.495474     2686625.612618
 3 Aug 2025 21:26:40.000     -98955611.878914     115284154.053833     2650479.395007
 4 Aug 2025 19:40:00.000    -100813066.548043     113718240.009035     2609209.395801
 5 Aug 2025 17:53:20.000    -102647499.216012     112109468.229761     2562006.220958
 6 Aug 2025 16:06:40.000    -104453121.231309     110459807.964662     2508326.101721
 7 Aug 2025 14:20:00.000    -106224266.681419     108771808.001130     2447966.447717
 8 Aug 2025 12:33:20.000    -107955709.281926     107048450.219789     2381121.216869
 9 Aug 2025 10:46:40.000    -109642981.178348     105292985.142568     2308401.990550
10 Aug 2025 09:00:00.000    -111282655.379736     103508767.849764     2230811.476936
11 Aug 2025 07:13:20.000    -112872546.548558     101699118.351230     2149662.108765
12 Aug 2025 05:26:40.000    -114411792.376577      99867228.127016     2066445.558553
13 Aug 2025 03:40:00.000    -115900800.403356      98016122.872672     1982672.408189
14 Aug 2025 01:53:20.000    -117341078.107249      96148670.877030     1899712.979069
15 Aug 2025 00:06:40.000    -118734992.555630      94267606.305311     1818671.696674
15 Aug 2025 22:20:00.000    -120085515.732670      92375528.397181     1740317.660730
16 Aug 2025 20:33:20.000    -121396003.206391      90474841.483710     1665079.987585
